merchant_id,merchant_name,city
MERU9JCGLS9MNLI,Reliance Retail,Mumbai
MER43QNBEL8JWEW,DMart,Delhi
MER3N5P7AWGR7U5,Big Bazaar,Bengaluru
MERLXSBZNU5LYTU,Reliance Digital,Chennai
MERT7OA8XC77HJ1,Croma,Hyderabad
MERPAMYV4SYG8KK,Amazon India,Pune
MER8QQVJD1FTCWC,Flipkart,Ahmedabad
MERMJNO5ZJIG56Y,Apollo Pharmacy,Jaipur
MERUUA2FSWYI9UD,JioMart,Kolkata
MER0JMGLEH597T8,Myntra,Lucknow
MER4TJ08YIX70RD,Pantaloons,Noida
MERXQX6N7C0Z5XP,Max Fashion,Gurugram
MERYKJVSZHZQHZV,Tata Cliq,Indore
MERJLZ9R01G5VOD,Shoppers Stop,Surat
MERXUMUBOAJ9GAI,Lifestyle,Bhopal
MER9QCWPBV1EWMQ,Reliance Retail,Mumbai
MERFHY31WGC27O4,DMart,Delhi
MERPPL8MSBA0UM4,Big Bazaar,Bengaluru
MERCV31S3N713Q0,Reliance Digital,Chennai
MER871CEH865MVG,Croma,Hyderabad
MERXEE7FNZQY05I,Amazon India,Pune
MER527L0X2GD0WB,Flipkart,Ahmedabad
MERZCR2C8V747FC,Apollo Pharmacy,Jaipur
MERDNDAL3HZLT1S,JioMart,Kolkata
MEREQNP2NEP1WT2,Myntra,Lucknow
MER4CBW6XWRBJHD,Pantaloons,Noida
MERD1CUHWDB7P57,Max Fashion,Gurugram
MERJA2U8N3VCOTV,Tata Cliq,Indore
MERG9ESEM3XV7HY,Shoppers Stop,Surat
MER31DO5JJKHQEC,Lifestyle,Bhopal
MERJ05HSBTIUERK,Reliance Retail,Mumbai
MERHWBCKJYQCS23,DMart,Delhi
MERW4Q2S0M8OLVC,Big Bazaar,Bengaluru
MERSELR488C30RP,Reliance Digital,Chennai
MERQOQ1B6OZCOYP,Croma,Hyderabad
MERI170PGIXDE07,Amazon India,Pune
MER8PICMH29SWZQ,Flipkart,Ahmedabad
MERPAIAUAIJOJM6,Apollo Pharmacy,Jaipur
MER9CDWOZS6M05Y,JioMart,Kolkata
MERQRLJ7JJ0QPIS,Myntra,Lucknow
MERNDY22AUB33EG,Pantaloons,Noida
MERXLB3TT8WTLCV,Max Fashion,Gurugram
MER0OF8FCDORAUW,Tata Cliq,Indore
MERR76GBLFXKC0C,Shoppers Stop,Surat
MER7ZP8QX7RLA6C,Lifestyle,Bhopal
MERN5U3ZZNS14UR,Reliance Retail,Mumbai
MERPKSJ6NLJNO55,DMart,Delhi
MERXH3OUHAIATZ5,Big Bazaar,Bengaluru
MERQL9P1P5RRESM,Reliance Digital,Chennai
MERKSGES75LPWLD,Croma,Hyderabad
MER9D2WWWRHCCQ7,Amazon India,Pune
MERL19LBSK5CT87,Flipkart,Ahmedabad
MERU0G5W6RTE11F,Apollo Pharmacy,Jaipur
MERSJOZLVXP82Q7,JioMart,Kolkata
MEREBQUSM8LT2RO,Myntra,Lucknow
MER4URVJVI1YOFG,Pantaloons,Noida
MER2YGUHJHIP41G,Max Fashion,Gurugram
MERPS40E88EIZ3X,Tata Cliq,Indore
MER5K72RO8W28KI,Shoppers Stop,Surat
MERRGCH4HTJUF1B,Lifestyle,Bhopal
MERGDDWPZNUDLC2,Reliance Retail,Mumbai
MEREQG2KLVZK9R3,DMart,Delhi
MERBCQS2069X1G4,Big Bazaar,Bengaluru
MERTZD7I06HOD11,Reliance Digital,Chennai
MER125MDK4KC4FU,Croma,Hyderabad
MERQQG0QVXLLT0A,Amazon India,Pune
MERM57G4D0BRZEE,Flipkart,Ahmedabad
MER2FK74LSUXHL9,Apollo Pharmacy,Jaipur
MERSD33TDXZVHZW,JioMart,Kolkata
MERKEVTVFNNE354,Myntra,Lucknow
MER4A4S2TQGJ1BL,Pantaloons,Noida
MERZANDCHXJ16WV,Max Fashion,Gurugram
MERW6QWFWDDIOAD,Tata Cliq,Indore
MER4HHEYJEVKCQP,Shoppers Stop,Surat
MERXFQ678OE3XUX,Lifestyle,Bhopal
MER43VP79DEA8DR,Reliance Retail,Mumbai
MERMVHHU0GO9TH6,DMart,Delhi
MERUGAP8X803XYL,Big Bazaar,Bengaluru
MER1X3CLS1LOZ2K,Reliance Digital,Chennai
MERBLY3OHIJ95FX,Croma,Hyderabad
MERLYJNY0X2H45O,Amazon India,Pune
MER6P7CFBH45XBT,Flipkart,Ahmedabad
MERO90OBMKTWMY8,Apollo Pharmacy,Jaipur
MERRM9HVRO8EB17,JioMart,Kolkata
MERXAFILEXYTDI9,Myntra,Lucknow
MER7AT12T4OHNGX,Pantaloons,Noida
MER23XLK0Q89NVV,Max Fashion,Gurugram
MERO0D8X206MBDU,Tata Cliq,Indore
MER5WIIVBVR3KHL,Shoppers Stop,Surat
MER8RQ4PJ1NS2P7,Lifestyle,Bhopal
MER4NXMADYDNW01,Reliance Retail,Mumbai
MERYB4O1O69OX81,DMart,Delhi
MERIQT2LXMFS6VS,Big Bazaar,Bengaluru
MERXB5P2JBL7S9H,Reliance Digital,Chennai
MERCP4V8FRF8NPD,Croma,Hyderabad
MERLS9ZC6KBE11B,Amazon India,Pune
MERGM9EVYJMSNVZ,Flipkart,Ahmedabad
MERRJW4VXAUERDJ,Apollo Pharmacy,Jaipur
MERZVN0EWUMPTZT,JioMart,Kolkata
MER9Y2TW22W4JS1,Myntra,Lucknow
MERYRIGNRJ0UIRZ,Pantaloons,Noida
MERKVZDOBFPZP12,Max Fashion,Gurugram
MERCW2DSB6MKB5A,Tata Cliq,Indore
MERPX0A9N5Y0S5A,Shoppers Stop,Surat
MERKAVUZ4I7O6HU,Lifestyle,Bhopal
MERPI2PUXK5CW11,Reliance Retail,Mumbai
MERF1PA1REHJ84K,DMart,Delhi
MERQ58V454WUBH5,Big Bazaar,Bengaluru
MER8HPOINGVW5TT,Reliance Digital,Chennai
MERB7N67K6OQKSG,Croma,Hyderabad
MER0O8SQ9YXS81K,Amazon India,Pune
MERMVTIQST0QPVL,Flipkart,Ahmedabad
MERHIDMWHVJTGAJ,Apollo Pharmacy,Jaipur
MER2F73QTDVCNO0,JioMart,Kolkata
MERZE63TT6GVMDT,Myntra,Lucknow
MER41F5G2VYLU65,Pantaloons,Noida
MERFA1O3Z9UPWNW,Max Fashion,Gurugram
MERR7B72597YIZW,Tata Cliq,Indore
MER1INIEMVP89QU,Shoppers Stop,Surat
MERW5IESFX4O3PS,Lifestyle,Bhopal
MER4C1XIVB0030I,Reliance Retail,Mumbai
MER74UCUGAHW820,DMart,Delhi
MERQ7NB5ON21FLF,Big Bazaar,Bengaluru
MERVGARNWLP410H,Reliance Digital,Chennai
MERVCB8M17KVPRM,Croma,Hyderabad
MERKAIU0V84MQDG,Amazon India,Pune
MER1S66I9RCMVHA,Flipkart,Ahmedabad
MERO0C6D04NO57V,Apollo Pharmacy,Jaipur
MERDYTE50I4YVJX,JioMart,Kolkata
MERTURCJX4R2DPA,Myntra,Lucknow
MERJXQV284BPPKX,Pantaloons,Noida
MERF4HAAZNEV4JU,Max Fashion,Gurugram
MERM851FO2HXYAE,Tata Cliq,Indore
MER5NX5R4H4LEPU,Shoppers Stop,Surat
MER3IH3TQHFYVEG,Lifestyle,Bhopal
MER2RYB5HKJRJBR,Reliance Retail,Mumbai
